"gene_id","gene_symbol","product","display_name","feature_type","EC_number","COG","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","classification","plot_label","locus_tag"
"AENJPLPP_00096","yfiY","putative siderophore-binding lipoprotein YfiY","yfiY","CDS","","COG0614",3942.4386369732,3.83255137665277,0.067423241567971,56.8431788137786,0,0,"Up in serum","yfiY
(AENJPLPP_00096)","AENJPLPP_00096"
"AENJPLPP_00119","argS","Arginine--tRNA ligase","argS","CDS","6.1.1.19","COG0018",65260.5658164296,3.10187127167084,0.053928506562412,57.5182119697867,0,0,"Up in serum","argS
(AENJPLPP_00119)","AENJPLPP_00119"
"AENJPLPP_00124","rpsB","30S ribosomal protein S2","rpsB","CDS","","COG0052",28706.9607294761,-2.77172101703133,0.0609729247760117,-45.4582263720076,0,0,"Down in serum","rpsB
(AENJPLPP_00124)","AENJPLPP_00124"
"AENJPLPP_00144","gdhIV","Glucose 1-dehydrogenase 4","gdhIV","CDS","1.1.1.47","COG1028",3483.83141894517,2.61172661809573,0.0667761243107128,39.1116831810008,0,0,"Up in serum","gdhIV
(AENJPLPP_00144)","AENJPLPP_00144"
"AENJPLPP_00145","glcU_1","Glucose uptake protein GlcU","glcU_1","CDS","","COG4975",2701.58219268423,3.14333102233491,0.073155518707059,42.9677907817445,0,0,"Up in serum","glcU_1
(AENJPLPP_00145)","AENJPLPP_00145"
"AENJPLPP_00186","tig","Trigger factor","tig","CDS","5.2.1.8","COG0544",25858.0513879911,-2.10420810949946,0.0507892962197903,-41.4301489903211,0,0,"Down in serum","tig
(AENJPLPP_00186)","AENJPLPP_00186"
"AENJPLPP_00189",NA,"hypothetical protein","hypothetical protein","CDS","","",2965.67179732864,2.98614441939439,0.0728326938165896,41.0000545485003,0,0,"Up in serum","hypothetical protein","AENJPLPP_00189"
"AENJPLPP_00192","glcR","HTH-type transcriptional repressor GlcR","glcR","CDS","","COG1349",5514.36452733146,-5.40165615770392,0.0842192980719451,-64.1379859648023,0,0,"Down in serum","glcR
(AENJPLPP_00192)","AENJPLPP_00192"
"AENJPLPP_00193","lacC_1","Tagatose-6-phosphate kinase","lacC_1","CDS","2.7.1.144","COG1105",8954.23551394383,-6.01312052477942,0.101740931857232,-59.1022749154423,0,0,"Down in serum","lacC_1
(AENJPLPP_00193)","AENJPLPP_00193"
"AENJPLPP_00194","fruA_1","PTS system fructose-specific EIIABC component","fruA_1","CDS","","COG1299",8279.09119807835,-5.48851048787128,0.0717271404765501,-76.5192987118404,0,0,"Down in serum","fruA_1
(AENJPLPP_00194)","AENJPLPP_00194"
"AENJPLPP_00268",NA,"hypothetical protein","hypothetical protein","CDS","","",5056.99055831012,4.66639922725494,0.0734003178703502,63.5746460321518,0,0,"Up in serum","hypothetical protein","AENJPLPP_00268"
"AENJPLPP_00308",NA,"hypothetical protein","hypothetical protein","CDS","","",1250.73314703749,5.01344483228334,0.120258256750152,41.688986417783,0,0,"Up in serum","hypothetical protein","AENJPLPP_00308"
"AENJPLPP_00310","gspA_1","General stress protein A","gspA_1","CDS","","COG1442",3792.75713007616,7.35438635439134,0.134619811443732,54.6307878128717,0,0,"Up in serum","gspA_1
(AENJPLPP_00310)","AENJPLPP_00310"
"AENJPLPP_00311","gspA_2","General stress protein A","gspA_2","CDS","","COG1442",2413.70955883827,7.01461576613125,0.148957431233111,47.0914120098765,0,0,"Up in serum","gspA_2
(AENJPLPP_00311)","AENJPLPP_00311"
"AENJPLPP_00313",NA,"hypothetical protein","hypothetical protein","CDS","","",3567.92058286883,6.98884467409692,0.131731012375759,53.0539054399841,0,0,"Up in serum","hypothetical protein","AENJPLPP_00313"
"AENJPLPP_00315",NA,"hypothetical protein","hypothetical protein","CDS","","",3102.26147661222,3.5940567434299,0.0883723711738696,40.6694614582505,0,0,"Up in serum","hypothetical protein","AENJPLPP_00315"
"AENJPLPP_00316",NA,"hypothetical protein","hypothetical protein","CDS","","",15721.4536645776,4.28789400493865,0.075680292118612,56.6580001860765,0,0,"Up in serum","hypothetical protein","AENJPLPP_00316"
"AENJPLPP_00317",NA,"hypothetical protein","hypothetical protein","CDS","","",1592.22912875276,3.58455376976188,0.0878378983083982,40.8087379000865,0,0,"Up in serum","hypothetical protein","AENJPLPP_00317"
"AENJPLPP_00322",NA,"hypothetical protein","hypothetical protein","CDS","","",7556.61596782658,3.17575141523225,0.0763359621098994,41.6022976255959,0,0,"Up in serum","hypothetical protein","AENJPLPP_00322"
"AENJPLPP_00324",NA,"Stress response regulator gls24","Stress response regulator gls24","CDS","","",6348.22682473188,3.15321528546023,0.0709635287427293,44.4343078948607,0,0,"Up in serum","Stress response regulator gls24","AENJPLPP_00324"
"AENJPLPP_00331","dxs","1-deoxy-D-xylulose-5-phosphate synthase","dxs","CDS","2.2.1.7","COG1154",2815.40488536868,-3.01925146382854,0.0717532877525582,-42.078231651774,0,0,"Down in serum","dxs
(AENJPLPP_00331)","AENJPLPP_00331"
"AENJPLPP_00344","ahpF","NADH dehydrogenase","ahpF","CDS","1.6.99.3","",9602.11834853711,-4.5733184585073,0.0711558932286655,-64.2718157413969,0,0,"Down in serum","ahpF
(AENJPLPP_00344)","AENJPLPP_00344"
"AENJPLPP_00345","ahpC","Alkyl hydroperoxide reductase C","ahpC","CDS","1.11.1.15","COG0450",2967.06538628846,-4.94452331286833,0.0962187237231088,-51.3883693479173,0,0,"Down in serum","ahpC
(AENJPLPP_00345)","AENJPLPP_00345"
"AENJPLPP_00372","nupC","Nucleoside permease NupC","nupC","CDS","","COG1972",1909.97533236496,-3.075117952088,0.0779435898129993,-39.4531219240191,0,0,"Down in serum","nupC
(AENJPLPP_00372)","AENJPLPP_00372"
"AENJPLPP_00373",NA,"hypothetical protein","hypothetical protein","CDS","","",2981.62658829253,-3.19668112930989,0.0707881522981482,-45.1584202374147,0,0,"Down in serum","hypothetical protein","AENJPLPP_00373"
"AENJPLPP_00392","ysnF","Stress response protein YsnF","ysnF","CDS","","",11692.1968863988,5.62439011653945,0.0753936195056463,74.6003462019519,0,0,"Up in serum","ysnF
(AENJPLPP_00392)","AENJPLPP_00392"
"AENJPLPP_00410",NA,"hypothetical protein","hypothetical protein","CDS","","",2355.34403119332,4.80256008844744,0.104424263264132,45.9908448317206,0,0,"Up in serum","hypothetical protein","AENJPLPP_00410"
"AENJPLPP_00427",NA,"hypothetical protein","hypothetical protein","CDS","","",4875.83027825143,3.0603443344731,0.0612909973568329,49.9313841583609,0,0,"Up in serum","hypothetical protein","AENJPLPP_00427"
"AENJPLPP_00449","fhs1","Formate--tetrahydrofolate ligase 1","fhs1","CDS","6.3.4.3","",12743.9937922257,3.67086548149088,0.0653676262498427,56.1572400909956,0,0,"Up in serum","fhs1
(AENJPLPP_00449)","AENJPLPP_00449"
"AENJPLPP_00455","alaS","Alanine--tRNA ligase","alaS","CDS","6.1.1.7","",14158.1464662047,-2.08938636099231,0.0523442401558186,-39.9162611735812,0,0,"Down in serum","alaS
(AENJPLPP_00455)","AENJPLPP_00455"
"AENJPLPP_00486",NA,"hypothetical protein","hypothetical protein","CDS","","",2041.06981252325,3.52120689736276,0.081941931125733,42.9719784362876,0,0,"Up in serum","hypothetical protein","AENJPLPP_00486"
"AENJPLPP_00494","gap_1","Glyceraldehyde-3-phosphate dehydrogenase","gap_1","CDS","1.2.1.12","",16920.9689087131,2.86356460765088,0.0546960404413808,52.3541482078549,0,0,"Up in serum","gap_1
(AENJPLPP_00494)","AENJPLPP_00494"
"AENJPLPP_00499","fabZ_1","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","fabZ_1","CDS","4.2.1.59","COG0764",4397.94322706626,-3.25193646825015,0.0685565456393053,-47.4343687816401,0,0,"Down in serum","fabZ_1
(AENJPLPP_00499)","AENJPLPP_00499"
"AENJPLPP_00500","fabI","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","fabI","CDS","1.3.1.9","COG0623",7027.0047513056,-3.64445908668207,0.0751519770606425,-48.4945204268045,0,0,"Down in serum","fabI
(AENJPLPP_00500)","AENJPLPP_00500"
"AENJPLPP_00513","pheS","Phenylalanine--tRNA ligase alpha subunit","pheS","CDS","6.1.1.20","COG0016",3406.85427305168,-2.82871686916834,0.06662508359016,-42.4572355746526,0,0,"Down in serum","pheS
(AENJPLPP_00513)","AENJPLPP_00513"
"AENJPLPP_00528",NA,"hypothetical protein","hypothetical protein","CDS","","",14315.022256429,7.74539228145286,0.0992589454920007,78.0321838304948,0,0,"Up in serum","hypothetical protein","AENJPLPP_00528"
"AENJPLPP_00580","ydhF","Oxidoreductase YdhF","ydhF","CDS","1.-.-.-","COG4989",32968.7887097196,5.82909151817957,0.0838618230216511,69.5082852739159,0,0,"Up in serum","ydhF
(AENJPLPP_00580)","AENJPLPP_00580"
"AENJPLPP_00591","purB","Adenylosuccinate lyase","purB","CDS","4.3.2.2","COG0015",28643.0765613571,3.74362917221644,0.0593582438915972,63.0683949992394,0,0,"Up in serum","purB
(AENJPLPP_00591)","AENJPLPP_00591"
"AENJPLPP_00592","purK","N5-carboxyaminoimidazole ribonucleotide synthase","purK","CDS","6.3.4.18","",9790.57629143233,3.48230007310561,0.0587751345857525,59.2478451584821,0,0,"Up in serum","purK
(AENJPLPP_00592)","AENJPLPP_00592"
"AENJPLPP_00593","purE","N5-carboxyaminoimidazole ribonucleotide mutase","purE","CDS","5.4.99.18","COG0041",3140.34175636623,5.64932028108363,0.102795461826508,54.9569035510365,0,0,"Up in serum","purE
(AENJPLPP_00593)","AENJPLPP_00593"
"AENJPLPP_00658","topA","DNA topoisomerase 1","topA","CDS","5.6.2.1","",6897.02275152803,-2.31510441580301,0.0594146082386614,-38.9652390958048,0,0,"Down in serum","topA
(AENJPLPP_00658)","AENJPLPP_00658"
"AENJPLPP_00662",NA,"hypothetical protein","hypothetical protein","CDS","","",1724.05221744544,5.11745675817308,0.104710177416757,48.8725822496232,0,0,"Up in serum","hypothetical protein","AENJPLPP_00662"
"AENJPLPP_00663","folT_1","Folate transporter FolT","folT_1","CDS","","",4292.28340986852,4.941515902593,0.0800901378743814,61.6994305883653,0,0,"Up in serum","folT_1
(AENJPLPP_00663)","AENJPLPP_00663"
"AENJPLPP_00712","tuf_1","Elongation factor Tu","tuf_1","CDS","","",21468.0808950484,2.91679451108086,0.0724251022086762,40.2732536390048,0,0,"Up in serum","tuf_1
(AENJPLPP_00712)","AENJPLPP_00712"
"AENJPLPP_00808","pbuO","Guanine/hypoxanthine permease PbuO","pbuO","CDS","","COG2252",14299.6609964647,4.31003002690664,0.0710362599924967,60.6736619771634,0,0,"Up in serum","pbuO
(AENJPLPP_00808)","AENJPLPP_00808"
"AENJPLPP_00819","yeeN","putative transcriptional regulatory protein YeeN","yeeN","CDS","","COG0217",8859.19929473621,-2.3486280810679,0.0567710282087583,-41.3701874912594,0,0,"Down in serum","yeeN
(AENJPLPP_00819)","AENJPLPP_00819"
"AENJPLPP_00820","tmcAL","tRNA(Met) cytidine acetate ligase","tmcAL","CDS","6.3.4.-","COG1323",4481.27732305655,-3.08202303559145,0.0651014407956786,-47.3418560007666,0,0,"Down in serum","tmcAL
(AENJPLPP_00820)","AENJPLPP_00820"
"AENJPLPP_00821","COQ5_1","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","COQ5_1","CDS","2.1.1.163","",7849.13242347991,-2.49008448825799,0.0557287374165683,-44.6822340446149,0,0,"Down in serum","COQ5_1
(AENJPLPP_00821)","AENJPLPP_00821"
"AENJPLPP_00822","rsfS","Ribosomal silencing factor RsfS","rsfS","CDS","","COG0799",4459.81618538347,-2.56063216360313,0.0617882478898073,-41.4420581753628,0,0,"Down in serum","rsfS
(AENJPLPP_00822)","AENJPLPP_00822"
"AENJPLPP_00823",NA,"hypothetical protein","hypothetical protein","CDS","","",6741.40326441857,-2.40310127897755,0.0586509692377724,-40.97291673451,0,0,"Down in serum","hypothetical protein","AENJPLPP_00823"
"AENJPLPP_00826","yqeH","putative protein YqeH","yqeH","CDS","","COG1161",9968.25026912934,-2.95832555458948,0.0572628992151931,-51.6621686141343,0,0,"Down in serum","yqeH
(AENJPLPP_00826)","AENJPLPP_00826"
"AENJPLPP_00827",NA,"hypothetical protein","hypothetical protein","CDS","","",6733.82153750563,-3.69063245347051,0.0653129624459467,-56.5068910558894,0,0,"Down in serum","hypothetical protein","AENJPLPP_00827"
