gene_id	serum_1	serum_2	serum_3	BHI_1	BHI_2	BHI_3
AENJPLPP_00001	135	148	151	136	140	139
AENJPLPP_00003	720	905	849	1673	1633	1467
AENJPLPP_00004	157	216	165	444	413	341
AENJPLPP_00005	1091	1224	1202	1351	1233	1225
AENJPLPP_00006	954	1079	1009	926	841	767
AENJPLPP_00007	515	601	523	438	484	504
AENJPLPP_00008	55	57	67	101	87	82
AENJPLPP_00009	89	115	134	117	136	121
AENJPLPP_00010	12219	14155	13465	9335	9692	8911
AENJPLPP_00011	996	1215	1038	1632	1495	1420
AENJPLPP_00012	798	943	862	662	703	638
AENJPLPP_00013	878	1070	971	716	704	585
AENJPLPP_00014	1297	1515	1320	1210	1010	1022
AENJPLPP_00015	6373	7790	6814	4880	4702	4168
AENJPLPP_00016	18837	22245	19911	20069	22906	21170
AENJPLPP_00017	5	2	6	6	7	12
AENJPLPP_00018	66	77	79	35	29	34
AENJPLPP_00019	0	0	0	0	0	0
AENJPLPP_00020	4	4	5	2	15	10
AENJPLPP_00021	174	231	179	215	274	297
AENJPLPP_00022	6978	7175	6739	672	806	839
AENJPLPP_00023	13	13	13	7	16	16
AENJPLPP_00024	8557	8256	7156	1191	1357	985
AENJPLPP_00025	1052	1203	1115	2467	2396	2171
AENJPLPP_00026	657	810	728	718	743	764
AENJPLPP_00027	8	12	6	8	11	8
AENJPLPP_00028	240	283	242	111	120	118
AENJPLPP_00029	469	552	517	175	189	151
AENJPLPP_00030	0	1	0	0	0	1
AENJPLPP_00031	50	60	55	42	47	38
AENJPLPP_00032	11393	13392	11710	5506	5272	4934
AENJPLPP_00034	228	231	222	543	544	529
AENJPLPP_00035	3032	3093	3126	1948	2073	1810
AENJPLPP_00036	868	1054	890	958	1193	995
AENJPLPP_00037	214	217	227	229	233	212
AENJPLPP_00038	942	951	916	1158	1231	1042
AENJPLPP_00039	1851	1987	1644	269	292	283
AENJPLPP_00040	1100	1287	1185	381	369	335
AENJPLPP_00041	1124	1188	1251	381	251	232
AENJPLPP_00042	38	43	44	25	20	26
AENJPLPP_00043	2288	2519	2314	534	565	517
AENJPLPP_00044	4967	5480	5258	1215	1196	1125
AENJPLPP_00045	1304	1638	1562	349	413	344
AENJPLPP_00046	1528	1971	1687	449	487	443
AENJPLPP_00047	1973	2153	2056	477	497	389
AENJPLPP_00048	282	299	328	88	59	75
AENJPLPP_00049	77	103	90	31	24	22
AENJPLPP_00050	125	132	122	52	46	29
AENJPLPP_00051	862	875	866	346	370	294
AENJPLPP_00052	211	252	220	93	81	85
AENJPLPP_00053	181	231	231	78	106	89
AENJPLPP_00054	0	0	0	0	0	0
AENJPLPP_00055	0	0	0	0	0	0
AENJPLPP_00056	1189	1503	1402	409	401	390
AENJPLPP_00057	4	8	7	2	2	0
AENJPLPP_00058	1263	1608	1557	831	956	864
AENJPLPP_00059	1859	1996	2006	491	455	435
AENJPLPP_00060	875	1047	843	908	883	772
AENJPLPP_00061	63	69	58	80	77	67
AENJPLPP_00062	67	47	54	62	46	42
AENJPLPP_00063	63	85	87	83	97	85
AENJPLPP_00064	103	116	127	128	109	93
AENJPLPP_00065	361	385	377	304	303	268
AENJPLPP_00066	217	285	268	241	300	235
AENJPLPP_00067	190	258	267	257	263	233
AENJPLPP_00068	678	789	747	670	693	612
AENJPLPP_00069	15	12	19	17	14	7
AENJPLPP_00070	69	75	101	73	123	101
AENJPLPP_00071	7	16	13	13	15	16
AENJPLPP_00072	74	73	95	83	92	76
AENJPLPP_00073	133	157	147	155	127	118
AENJPLPP_00074	197	262	280	204	183	163
AENJPLPP_00075	292	356	332	526	338	342
AENJPLPP_00076	56	81	77	116	84	84
AENJPLPP_00077	495	601	583	611	601	516
AENJPLPP_00078	0	0	0	0	0	0
AENJPLPP_00079	0	0	0	0	0	0
AENJPLPP_00080	0	0	0	0	0	0
AENJPLPP_00081	7	21	21	21	24	13
AENJPLPP_00082	16	15	15	15	6	9
AENJPLPP_00083	10	13	13	18	8	12
AENJPLPP_00084	23	22	20	20	16	16
AENJPLPP_00085	163	195	163	229	260	206
AENJPLPP_00086	2	14	9	11	26	21
AENJPLPP_00087	0	0	0	1	0	1
AENJPLPP_00088	19	25	19	57	60	58
AENJPLPP_00089	9	10	8	6	8	6
AENJPLPP_00090	33	34	36	74	82	68
AENJPLPP_00091	1	2	1	4	1	2
AENJPLPP_00092	6209	7246	6874	17228	18511	15784
AENJPLPP_00093	2149	1940	1864	335	315	300
AENJPLPP_00094	195	257	225	1602	2021	2062
AENJPLPP_00095	260	337	293	2285	2166	1980
AENJPLPP_00096	6202	7510	7026	571	565	525
AENJPLPP_00097	400	484	396	327	334	302
AENJPLPP_00098	159	194	205	107	103	112
AENJPLPP_00099	252	312	261	196	209	191
AENJPLPP_00100	286	343	319	744	671	621
AENJPLPP_00101	271	327	280	698	581	550
AENJPLPP_00102	278	359	317	1580	1322	1083
AENJPLPP_00103	1506	1878	1552	8355	7063	6353
AENJPLPP_00104	939	1122	884	1893	1570	1633
AENJPLPP_00105	327	365	304	178	187	151
AENJPLPP_00106	1534	1741	1609	713	639	626
AENJPLPP_00107	5001	6494	5188	1020	1211	1309
AENJPLPP_00108	4244	4471	4603	5449	5437	4777
AENJPLPP_00109	5316	5440	5594	7482	7739	6238
AENJPLPP_00110	1156	1272	1251	2155	2182	1806
AENJPLPP_00111	266	283	245	1288	1366	1334
AENJPLPP_00112	187	211	192	780	741	820
AENJPLPP_00113	371	462	384	2275	2131	1754
AENJPLPP_00114	1114	1302	1118	5266	4989	4457
AENJPLPP_00115	228	265	260	760	710	619
AENJPLPP_00116	3513	3864	4269	7047	7863	6717
AENJPLPP_00117	1003	1105	1143	4398	3914	3386
AENJPLPP_00118	185	219	197	1242	1018	999
AENJPLPP_00119	100438	117835	110517	14942	15642	13202
AENJPLPP_00120	17	28	28	42	41	36
AENJPLPP_00121	1	1	0	1	0	0
AENJPLPP_00122	23	44	48	65	50	55
AENJPLPP_00123	1316	1449	1403	1598	1668	1557
AENJPLPP_00124	6436	7575	6615	51660	56093	52892
AENJPLPP_00125	11170	12395	11322	64014	60646	53781
