"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
28706.9607294761,-2.77172101703133,0.0609729247760117,-45.4582263720076,0,0,"AENJPLPP_00124","AENJPLPP_00124","CDS","rpsB","30S ribosomal protein S2","","COG0052","rpsB","rpsB
(AENJPLPP_00124)","Down in serum"
25858.0513879911,-2.10420810949946,0.0507892962197903,-41.4301489903211,0,0,"AENJPLPP_00186","AENJPLPP_00186","CDS","tig","Trigger factor","5.2.1.8","COG0544","tig","tig
(AENJPLPP_00186)","Down in serum"
5514.36452733146,-5.40165615770392,0.0842192980719451,-64.1379859648023,0,0,"AENJPLPP_00192","AENJPLPP_00192","CDS","glcR","HTH-type transcriptional repressor GlcR","","COG1349","glcR","glcR
(AENJPLPP_00192)","Down in serum"
8954.23551394383,-6.01312052477942,0.101740931857232,-59.1022749154423,0,0,"AENJPLPP_00193","AENJPLPP_00193","CDS","lacC_1","Tagatose-6-phosphate kinase","2.7.1.144","COG1105","lacC_1","lacC_1
(AENJPLPP_00193)","Down in serum"
8279.09119807835,-5.48851048787128,0.0717271404765501,-76.5192987118404,0,0,"AENJPLPP_00194","AENJPLPP_00194","CDS","fruA_1","PTS system fructose-specific EIIABC component","","COG1299","fruA_1","fruA_1
(AENJPLPP_00194)","Down in serum"
2815.40488536868,-3.01925146382854,0.0717532877525582,-42.078231651774,0,0,"AENJPLPP_00331","AENJPLPP_00331","CDS","dxs","1-deoxy-D-xylulose-5-phosphate synthase","2.2.1.7","COG1154","dxs","dxs
(AENJPLPP_00331)","Down in serum"
9602.11834853711,-4.5733184585073,0.0711558932286655,-64.2718157413969,0,0,"AENJPLPP_00344","AENJPLPP_00344","CDS","ahpF","NADH dehydrogenase","1.6.99.3","","ahpF","ahpF
(AENJPLPP_00344)","Down in serum"
2967.06538628846,-4.94452331286833,0.0962187237231088,-51.3883693479173,0,0,"AENJPLPP_00345","AENJPLPP_00345","CDS","ahpC","Alkyl hydroperoxide reductase C","1.11.1.15","COG0450","ahpC","ahpC
(AENJPLPP_00345)","Down in serum"
1909.97533236496,-3.075117952088,0.0779435898129993,-39.4531219240191,0,0,"AENJPLPP_00372","AENJPLPP_00372","CDS","nupC","Nucleoside permease NupC","","COG1972","nupC","nupC
(AENJPLPP_00372)","Down in serum"
2981.62658829253,-3.19668112930989,0.0707881522981482,-45.1584202374147,0,0,"AENJPLPP_00373","AENJPLPP_00373","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
14158.1464662047,-2.08938636099231,0.0523442401558186,-39.9162611735812,0,0,"AENJPLPP_00455","AENJPLPP_00455","CDS","alaS","Alanine--tRNA ligase","6.1.1.7","","alaS","alaS
(AENJPLPP_00455)","Down in serum"
4397.94322706626,-3.25193646825015,0.0685565456393053,-47.4343687816401,0,0,"AENJPLPP_00499","AENJPLPP_00499","CDS","fabZ_1","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","4.2.1.59","COG0764","fabZ_1","fabZ_1
(AENJPLPP_00499)","Down in serum"
7027.0047513056,-3.64445908668207,0.0751519770606425,-48.4945204268045,0,0,"AENJPLPP_00500","AENJPLPP_00500","CDS","fabI","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","1.3.1.9","COG0623","fabI","fabI
(AENJPLPP_00500)","Down in serum"
3406.85427305168,-2.82871686916834,0.06662508359016,-42.4572355746526,0,0,"AENJPLPP_00513","AENJPLPP_00513","CDS","pheS","Phenylalanine--tRNA ligase alpha subunit","6.1.1.20","COG0016","pheS","pheS
(AENJPLPP_00513)","Down in serum"
6897.02275152803,-2.31510441580301,0.0594146082386614,-38.9652390958048,0,0,"AENJPLPP_00658","AENJPLPP_00658","CDS","topA","DNA topoisomerase 1","5.6.2.1","","topA","topA
(AENJPLPP_00658)","Down in serum"
8859.19929473621,-2.3486280810679,0.0567710282087583,-41.3701874912594,0,0,"AENJPLPP_00819","AENJPLPP_00819","CDS","yeeN","putative transcriptional regulatory protein YeeN","","COG0217","yeeN","yeeN
(AENJPLPP_00819)","Down in serum"
4481.27732305655,-3.08202303559145,0.0651014407956786,-47.3418560007666,0,0,"AENJPLPP_00820","AENJPLPP_00820","CDS","tmcAL","tRNA(Met) cytidine acetate ligase","6.3.4.-","COG1323","tmcAL","tmcAL
(AENJPLPP_00820)","Down in serum"
7849.13242347991,-2.49008448825799,0.0557287374165683,-44.6822340446149,0,0,"AENJPLPP_00821","AENJPLPP_00821","CDS","COQ5_1","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","2.1.1.163","","COQ5_1","COQ5_1
(AENJPLPP_00821)","Down in serum"
4459.81618538347,-2.56063216360313,0.0617882478898073,-41.4420581753628,0,0,"AENJPLPP_00822","AENJPLPP_00822","CDS","rsfS","Ribosomal silencing factor RsfS","","COG0799","rsfS","rsfS
(AENJPLPP_00822)","Down in serum"
6741.40326441857,-2.40310127897755,0.0586509692377724,-40.97291673451,0,0,"AENJPLPP_00823","AENJPLPP_00823","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
9968.25026912934,-2.95832555458948,0.0572628992151931,-51.6621686141343,0,0,"AENJPLPP_00826","AENJPLPP_00826","CDS","yqeH","putative protein YqeH","","COG1161","yqeH","yqeH
(AENJPLPP_00826)","Down in serum"
6733.82153750563,-3.69063245347051,0.0653129624459467,-56.5068910558894,0,0,"AENJPLPP_00827","AENJPLPP_00827","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
14551.7792915243,-4.86522862170363,0.0756103570001031,-64.3460607082836,0,0,"AENJPLPP_00828","AENJPLPP_00828","CDS","accA","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","2.1.3.15","COG0825","accA","accA
(AENJPLPP_00828)","Down in serum"
13957.0304987791,-4.85402126442916,0.0714176625932455,-67.9666778241527,0,0,"AENJPLPP_00829","AENJPLPP_00829","CDS","accD","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta","2.1.3.15","COG0777","accD","accD
(AENJPLPP_00829)","Down in serum"
27568.4447564291,-5.20526929157303,0.0626268110599445,-83.1156688880535,0,0,"AENJPLPP_00830","AENJPLPP_00830","CDS","cfiB","2-oxoglutarate carboxylase small subunit","6.4.1.7","COG0439","cfiB","cfiB
(AENJPLPP_00830)","Down in serum"
