Assembly	E.faecium.contigs
# misassemblies	187
  # contig misassemblies	187
    # c. relocations	173
    # c. translocations	12
    # c. inversions	2
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	2
Misassembled contigs length	2786899
# local misassemblies	20
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# mismatches	9435
# indels	519
    # indels (<= 5 bp)	465
    # indels (> 5 bp)	54
Indels length	3615
