All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     E.faecium.contigs
# contigs (>= 0 bp)          11               
# contigs (>= 1000 bp)       11               
# contigs (>= 5000 bp)       11               
# contigs (>= 10000 bp)      10               
# contigs (>= 25000 bp)      4                
# contigs (>= 50000 bp)      2                
Total length (>= 0 bp)       3167640          
Total length (>= 1000 bp)    3167640          
Total length (>= 5000 bp)    3167640          
Total length (>= 10000 bp)   3160598          
Total length (>= 25000 bp)   3064600          
Total length (>= 50000 bp)   2994514          
# contigs                    11               
Largest contig               2775948          
Total length                 3167640          
Reference length             2919198          
GC (%)                       37.77            
Reference GC (%)             37.88            
N50                          2775948          
NG50                         2775948          
N90                          218566           
NG90                         2775948          
auN                          2449097.3        
auNG                         2657530.8        
L50                          1                
LG50                         1                
L90                          2                
LG90                         1                
# misassemblies              187              
# misassembled contigs       2                
Misassembled contigs length  2786899          
# local misassemblies        20               
# scaffold gap ext. mis.     0                
# scaffold gap loc. mis.     0                
# unaligned mis. contigs     4                
# unaligned contigs          4 + 7 part       
Unaligned length             573842           
Genome fraction (%)          85.149           
Duplication ratio            1.043            
# N's per 100 kbp            0.00             
# mismatches per 100 kbp     363.99           
# indels per 100 kbp         20.02            
Largest alignment            137655           
Total aligned length         2592096          
NA50                         24552            
NGA50                        29113            
NA90                         -                
NGA90                        -                
auNA                         36505.5          
auNGA                        39612.3          
LA50                         32               
LGA50                        27               
LA90                         -                
LGA90                        -                
