locus_tag	ftype	gene	product	EC_number	COG
AENJPLPP_00001	CDS		hypothetical protein		
AENJPLPP_00003	CDS		Putative phosphatase	3.1.3.-	
AENJPLPP_00004	CDS		hypothetical protein		
AENJPLPP_00005	CDS	srrA_1	Transcriptional regulatory protein SrrA		COG0745
AENJPLPP_00006	CDS		hypothetical protein		
AENJPLPP_00007	CDS	phoR_1	Alkaline phosphatase synthesis sensor protein PhoR	2.7.13.3	COG0642
AENJPLPP_00008	CDS		hypothetical protein		
AENJPLPP_00009	CDS		hypothetical protein		
AENJPLPP_00010	CDS	ltaS1_1	Lipoteichoic acid synthase 1		COG1368
AENJPLPP_00011	CDS	rlmI	Ribosomal RNA large subunit methyltransferase I	2.1.1.191	COG1092
AENJPLPP_00012	CDS	aroD	3-dehydroquinate dehydratase	4.2.1.10	COG0710
AENJPLPP_00013	CDS	ybaK_1	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	4.2.-.-	COG2606
AENJPLPP_00014	CDS	baiN	3-dehydro-bile acid delta(4,6)-reductase	1.3.1.114	COG2081
AENJPLPP_00015	CDS	gdh	NADP-specific glutamate dehydrogenase	1.4.1.4	COG0334
AENJPLPP_00016	CDS	pgi	Glucose-6-phosphate isomerase	5.3.1.9	COG0166
AENJPLPP_00017	CDS		ISL3 family transposase ISEfa11		
AENJPLPP_00018	CDS		hypothetical protein		
AENJPLPP_00019	CDS		IS1182 family transposase ISEfa7		
AENJPLPP_00020	CDS		IS982 family transposase ISEfm1		
AENJPLPP_00021	CDS		IS30 family transposase IS1062		COG2826
AENJPLPP_00022	CDS		hypothetical protein		
AENJPLPP_00023	CDS		hypothetical protein		
AENJPLPP_00024	CDS		hypothetical protein		
AENJPLPP_00025	CDS		hypothetical protein		
AENJPLPP_00026	CDS		hypothetical protein		
AENJPLPP_00027	CDS		IS30 family transposase IS1252		COG2826
AENJPLPP_00028	CDS		hypothetical protein		
AENJPLPP_00029	CDS		hypothetical protein		
AENJPLPP_00030	CDS		hypothetical protein		
AENJPLPP_00031	CDS		hypothetical protein		
AENJPLPP_00032	CDS		hypothetical protein		
AENJPLPP_00034	CDS	xerC_1	Tyrosine recombinase XerC		
AENJPLPP_00035	CDS		hypothetical protein		
AENJPLPP_00036	CDS		hypothetical protein		
AENJPLPP_00037	CDS		hypothetical protein		
AENJPLPP_00038	CDS		hypothetical protein		
AENJPLPP_00039	CDS		hypothetical protein		
AENJPLPP_00040	CDS		hypothetical protein		
AENJPLPP_00041	CDS		hypothetical protein		
AENJPLPP_00042	CDS		hypothetical protein		
AENJPLPP_00043	CDS		hypothetical protein		
AENJPLPP_00044	CDS		hypothetical protein		
AENJPLPP_00045	CDS		hypothetical protein		
AENJPLPP_00046	CDS		hypothetical protein		
AENJPLPP_00047	CDS		hypothetical protein		
AENJPLPP_00048	CDS		hypothetical protein		
AENJPLPP_00049	CDS		hypothetical protein		
AENJPLPP_00050	CDS		hypothetical protein		
AENJPLPP_00051	CDS		hypothetical protein		
AENJPLPP_00052	CDS		hypothetical protein		
AENJPLPP_00053	CDS		hypothetical protein		
AENJPLPP_00054	CDS		hypothetical protein		
AENJPLPP_00055	CDS		hypothetical protein		
AENJPLPP_00056	CDS		hypothetical protein		
AENJPLPP_00057	CDS		hypothetical protein		
AENJPLPP_00058	CDS		hypothetical protein		
AENJPLPP_00059	CDS		hypothetical protein		
AENJPLPP_00060	CDS	yjcQ	putative protein YjcQ		
AENJPLPP_00061	CDS		hypothetical protein		
AENJPLPP_00062	CDS		hypothetical protein		
AENJPLPP_00063	CDS		hypothetical protein		
AENJPLPP_00064	CDS		hypothetical protein		
AENJPLPP_00065	CDS		hypothetical protein		
AENJPLPP_00066	CDS		hypothetical protein		
AENJPLPP_00067	CDS		hypothetical protein		
AENJPLPP_00068	CDS		hypothetical protein		
AENJPLPP_00069	CDS		hypothetical protein		
AENJPLPP_00070	CDS		hypothetical protein		
AENJPLPP_00071	CDS		hypothetical protein		
AENJPLPP_00072	CDS		hypothetical protein		
AENJPLPP_00073	CDS		hypothetical protein		
AENJPLPP_00074	CDS		hypothetical protein		
AENJPLPP_00075	CDS		hypothetical protein		
AENJPLPP_00076	CDS		hypothetical protein		
AENJPLPP_00077	CDS		hypothetical protein		
AENJPLPP_00078	CDS		hypothetical protein		
AENJPLPP_00079	CDS		hypothetical protein		
AENJPLPP_00080	CDS		hypothetical protein		
AENJPLPP_00081	CDS		hypothetical protein		
AENJPLPP_00082	CDS		hypothetical protein		
AENJPLPP_00083	CDS		hypothetical protein		
AENJPLPP_00084	CDS		hypothetical protein		
AENJPLPP_00085	CDS		hypothetical protein		
AENJPLPP_00086	CDS		IS3 family transposase ISEnfa3		
AENJPLPP_00087	CDS		hypothetical protein		
AENJPLPP_00088	CDS	cbh_1	Choloylglycine hydrolase	3.5.1.24	
AENJPLPP_00089	CDS		IS256 family transposase ISEf1		
AENJPLPP_00090	CDS	cbh_2	Choloylglycine hydrolase	3.5.1.24	
AENJPLPP_00091	CDS		IS1182 family transposase ISEfa7		
AENJPLPP_00092	CDS	asnB	Asparagine synthetase [glutamine-hydrolyzing] 1	6.3.5.4	COG0367
AENJPLPP_00093	CDS		hypothetical protein		
AENJPLPP_00094	CDS	rpmGA_1	50S ribosomal protein L33 1		
AENJPLPP_00095	CDS	folA_1	Dihydrofolate reductase	1.5.1.3	
AENJPLPP_00096	CDS	yfiY	putative siderophore-binding lipoprotein YfiY		COG0614
AENJPLPP_00097	CDS	fepC	Ferric enterobactin transport ATP-binding protein FepC		COG1120
AENJPLPP_00098	CDS	feuB	Iron-uptake system permease protein FeuB		COG0609
AENJPLPP_00099	CDS	feuC	Iron-uptake system permease protein FeuC		COG0609
AENJPLPP_00100	CDS	yqgN	putative protein YqgN		COG0212
AENJPLPP_00101	CDS	gluP	Rhomboid protease GluP	3.4.21.105	COG0705
AENJPLPP_00102	CDS	yqgQ	putative protein YqgQ		COG4483
AENJPLPP_00103	CDS	glcK	Glucokinase	2.7.1.2	COG1940
AENJPLPP_00104	CDS	yibN	putative protein YibN		COG0607
AENJPLPP_00105	CDS		hypothetical protein		
AENJPLPP_00106	CDS		hypothetical protein		
AENJPLPP_00107	CDS		hypothetical protein		
AENJPLPP_00108	CDS	galE	UDP-glucose 4-epimerase	5.1.3.2	COG1087
AENJPLPP_00109	CDS	galT	Galactose-1-phosphate uridylyltransferase	2.7.7.12	
AENJPLPP_00110	CDS	melR_1	HTH-type transcriptional repressor MelR		COG1609
AENJPLPP_00111	CDS	tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB		COG1214
AENJPLPP_00112	CDS		hypothetical protein		
AENJPLPP_00113	CDS	rimI	[Ribosomal protein S18]-alanine N-acetyltransferase	2.3.1.266	COG0456
AENJPLPP_00114	CDS	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	2.3.1.234	COG0533
AENJPLPP_00115	CDS		hypothetical protein		
AENJPLPP_00116	CDS	arcA	Arginine deiminase	3.5.3.6	
AENJPLPP_00117	CDS	arcB	Ornithine carbamoyltransferase, catabolic	2.1.3.3	
AENJPLPP_00118	CDS	arcC1	Carbamate kinase 1	2.7.2.2	
AENJPLPP_00119	CDS	argS	Arginine--tRNA ligase	6.1.1.19	COG0018
AENJPLPP_00120	CDS	phnX_1	Phosphonoacetaldehyde hydrolase	3.11.1.1	
AENJPLPP_00121	CDS	phnX_2	Phosphonoacetaldehyde hydrolase	3.11.1.1	
AENJPLPP_00122	CDS	phnW	2-aminoethylphosphonate--pyruvate transaminase	2.6.1.37	COG0075
AENJPLPP_00123	CDS	argR_1	Arginine repressor		
AENJPLPP_00124	CDS	rpsB	30S ribosomal protein S2		COG0052
AENJPLPP_00125	CDS	tsf	Elongation factor Ts		COG0264
AENJPLPP_00126	CDS	pyrH	Uridylate kinase	2.7.4.22	COG0528
AENJPLPP_00127	CDS	frr	Ribosome-recycling factor		
AENJPLPP_00128	CDS	uppS	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	2.5.1.31	COG0020
AENJPLPP_00129	CDS		hypothetical protein		
AENJPLPP_00130	CDS	rasP	Regulator of sigma-W protease RasP	3.4.24.-	COG0750
AENJPLPP_00131	CDS	proS	Proline--tRNA ligase	6.1.1.15	COG0442
AENJPLPP_00132	CDS	polC_1	DNA polymerase III PolC-type	2.7.7.7	COG2176
AENJPLPP_00133	CDS	rimP	Ribosome maturation factor RimP		COG0779
AENJPLPP_00134	CDS	nusA	Transcription termination/antitermination protein NusA		COG0195
AENJPLPP_00135	CDS		hypothetical protein		
AENJPLPP_00136	CDS	rplGA	putative ribosomal protein YlxQ		COG1358
AENJPLPP_00137	CDS	infB	Translation initiation factor IF-2		
AENJPLPP_00138	CDS	rbfA	Ribosome-binding factor A		
AENJPLPP_00139	CDS		phosphoketolase	4.1.2.-	
AENJPLPP_00140	CDS	xpkA_1	Xylulose-5-phosphate phosphoketolase	4.1.2.9	
AENJPLPP_00141	CDS	xpkA_2	Xylulose-5-phosphate phosphoketolase	4.1.2.9	
AENJPLPP_00142	CDS	truB	tRNA pseudouridine synthase B	5.4.99.25	COG0130
AENJPLPP_00143	CDS	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase		COG0196
AENJPLPP_00144	CDS	gdhIV	Glucose 1-dehydrogenase 4	1.1.1.47	COG1028
AENJPLPP_00145	CDS	glcU_1	Glucose uptake protein GlcU		COG4975
AENJPLPP_00146	CDS		hypothetical protein		
AENJPLPP_00147	CDS	fra	Intracellular iron chaperone frataxin		COG5646
AENJPLPP_00148	CDS		hypothetical protein		
AENJPLPP_00149	CDS	mccF	Microcin C7 self-immunity protein MccF		
AENJPLPP_00150	CDS		hypothetical protein		
AENJPLPP_00151	CDS	ydeA	putative protease YdeA	3.2.-.-	COG0693
AENJPLPP_00152	CDS		hypothetical protein		
AENJPLPP_00153	CDS	hemW	Heme chaperone HemW		COG0635
AENJPLPP_00154	CDS	hrcA	Heat-inducible transcription repressor HrcA		COG1420
AENJPLPP_00155	CDS	grpE	Protein GrpE		
AENJPLPP_00156	CDS	dnaK	Chaperone protein DnaK		COG0443
AENJPLPP_00157	CDS	dnaJ	Chaperone protein DnaJ		COG0484
AENJPLPP_00158	CDS		hypothetical protein		
AENJPLPP_00159	CDS	artM_1	Arginine transport ATP-binding protein ArtM		COG1126
AENJPLPP_00160	CDS	mltF_1	Membrane-bound lytic murein transglycosylase F	4.2.2.-	
AENJPLPP_00161	CDS	uvrB	UvrABC system protein B		COG0556
AENJPLPP_00162	CDS	uvrA	UvrABC system protein A		
AENJPLPP_00163	CDS		D-aspartate ligase	6.3.1.12	
AENJPLPP_00164	CDS		Aspartate racemase	5.1.1.13	
AENJPLPP_00165	CDS	yvcJ	Nucleotide-binding protein YvcJ		COG1660
AENJPLPP_00166	CDS		Putative gluconeogenesis factor		COG0391
AENJPLPP_00167	CDS	whiA	putative cell division protein WhiA		COG1481
AENJPLPP_00168	CDS		hypothetical protein		
AENJPLPP_00169	CDS		hypothetical protein		
AENJPLPP_00170	CDS		hypothetical protein		
AENJPLPP_00171	CDS		IS30 family transposase IS1252		COG2826
AENJPLPP_00172	CDS		hypothetical protein		
AENJPLPP_00173	CDS		hypothetical protein		
AENJPLPP_00174	CDS		hypothetical protein		
AENJPLPP_00175	CDS		hypothetical protein		
AENJPLPP_00176	CDS		hypothetical protein		
AENJPLPP_00177	CDS		Pyruvate:ferredoxin oxidoreductase	1.2.7.1	COG0674
AENJPLPP_00178	CDS	cdaA	Cyclic di-AMP synthase CdaA	2.7.7.85	COG1624
AENJPLPP_00179	CDS		hypothetical protein		
AENJPLPP_00180	CDS	glmM	Phosphoglucosamine mutase	5.4.2.10	COG1109
AENJPLPP_00181	CDS	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	2.6.1.16	COG0449
AENJPLPP_00182	CDS		hypothetical protein		
AENJPLPP_00183	CDS	sppA	Putative signal peptide peptidase SppA	3.4.21.-	COG0616
AENJPLPP_00184	CDS		hypothetical protein		
AENJPLPP_00185	CDS		hypothetical protein		
AENJPLPP_00186	CDS	tig	Trigger factor	5.2.1.8	COG0544
AENJPLPP_00187	CDS	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX		COG1219
AENJPLPP_00188	CDS	engB	putative GTP-binding protein EngB		COG0218
AENJPLPP_00189	CDS		hypothetical protein		
AENJPLPP_00190	CDS		hypothetical protein		
AENJPLPP_00191	CDS		hypothetical protein		
AENJPLPP_00192	CDS	glcR	HTH-type transcriptional repressor GlcR		COG1349
AENJPLPP_00193	CDS	lacC_1	Tagatose-6-phosphate kinase	2.7.1.144	COG1105
AENJPLPP_00194	CDS	fruA_1	PTS system fructose-specific EIIABC component		COG1299
AENJPLPP_00195	CDS	clcA	H(+)/Cl(-) exchange transporter ClcA		COG0038
AENJPLPP_00196	CDS	pcrA	ATP-dependent DNA helicase PcrA	3.6.4.12	COG0210
AENJPLPP_00197	CDS	ligA_1	DNA ligase	6.5.1.2	COG0272
AENJPLPP_00198	CDS	gatC_1	Glutamyl-tRNA(Gln) amidotransferase subunit C	6.3.5.-	
AENJPLPP_00199	CDS	gatA_1	Glutamyl-tRNA(Gln) amidotransferase subunit A	6.3.5.7	COG0154
AENJPLPP_00200	CDS	gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	6.3.5.-	COG0064
AENJPLPP_00201	CDS	dagK_1	Diacylglycerol kinase	2.7.1.107	COG1597
